validation_type,model,held_out_pair,r2,rmse,mae,median_ae,max_ae,worst_pair_mae,empirical_interval_coverage,mean_interval_width
LTDO,A,Diphenhydramine + Lidocaine,0.21450631872610793,4.242901397453001,3.07318321432934,1.8822537106810486,7.5521462893189515,3.07318321432934,1.0,50.455568376618665
LTDO,A,Diphenhydramine + Naloxone,0.0708597383678704,4.740195473166136,4.484587150419143,4.2830810263619785,6.820978425105501,4.484587150419143,1.0,59.91185089223724
LTDO,A,Diphenhydramine + Promethazine,-1.3905228899545548,7.2903397758822095,6.557546481996409,8.07673616554272,9.121607905604401,6.55754648199641,1.0,56.04021428959504
LTDO,A,Epinephrine + Ketamine,0.6175591191926649,2.901690620084916,2.7651042632410556,2.759679263241056,4.010079360682793,2.7651042632410556,1.0,60.04948362091825
LTDO,A,Epinephrine + Lidocaine,0.6571810477679785,2.397795084802244,2.11624851130081,1.6038985891640307,4.183348355574369,2.11624851130081,1.0,175.00556557112523
LTDO,A,Epinephrine + Naloxone,0.007202011851956125,4.055574817398889,3.863569769668653,4.80202721207959,4.848827212079591,3.863569769668653,1.0,126.20241836933126
LTDO,A,Epinephrine + Promethazine,-4.547175098283794,7.83960036520867,7.745071896234668,8.06874144079619,9.181141440796189,7.745071896234668,1.0,3035.698356695433
LTDO,A,Ketamine + Lidocaine,-9.128222303603554,1.5841822263563161,1.4813579085169828,1.3916201740201322,2.6193569705295805,1.4813579085169828,1.0,60.843001379416386
LTDO,A,Ketamine + Naloxone,-72.7703345354513,5.334054613780088,4.781011084974937,6.666262690530521,6.713062690530522,4.781011084974937,1.0,72.1319484633145
LTDO,A,Ketamine + Promethazine,-1.0804550787885443,1.010084554548912,0.7901770877391103,0.58765,2.3912613003680154,0.7901770877391103,1.0,140.3495412550205
LTDO,A,Lidocaine + Naloxone,-389.6886145844449,5.289900982574983,4.255699015970391,1.917884610959057,7.899584889318836,4.255699015970391,1.0,111.32270864495653
LTDO,A,Lidocaine + Promethazine,-443.47116195470966,10.70121862407765,9.806286411417984,12.336307432938892,13.504657432938892,9.806286411417984,1.0,2616.1086168680486
LTDO,A,Naloxone + Promethazine,-82.65740917615445,4.206669388817844,3.553813950035895,2.548095142033121,7.175030771376626,3.5538139500358947,1.0,173.21878596339687
LTDO,B,Caffeine + Diazepam,-0.392793331097367,2.878637212766603,2.7290368676098367,2.9101362886147304,3.887777058662694,2.7290368676098367,1.0,43.737915770315446
LTDO,B,Caffeine + Diphenhydramine,0.47273471165349623,4.279774747837292,3.9623467733925612,2.82232387334102,6.61207612665898,3.962346773392562,0.6363636363636364,22.41737212928531
LTDO,B,Caffeine + Epinephrine,-0.9347930017382111,3.763115606572651,3.562647101824771,4.096850629947195,5.093424603779598,3.5626471018247705,1.0,77.538669533735
